file,title,word_count,proposed_tags,category,draft_if_short
2017-01-18-by-focusing-on-less-you-give-yourself-the-time.md,"By focusing on less, you give yourself the time...",57,focusing;less;give;yourself;time,General,no
2017-02-01-liked-the-mobile-native-advertising-landscape.md,Liked \,10,,General,yes
2017-02-02-also-in-tech-were-in-the-hunt-for-many-positio.md,Also in tech we're in the hunt for many positio...,20,technology;we're;hunt;positio,Engineering & Product,yes
2017-02-23-above-all-well-all-need-greater-literacy-ab.md,"> Above all, we'll all need greater literacy ab...",67,above;we'll;greater;literacy,General,no
2017-03-19-last-week-i-had-a-talk-in-spanish-with-jlia.md,Last week I had a talk (in Spanish) with Júlia ...,51,talk;last;week;spanish;lia,Events & Community,no
2017-04-19-liked-netflix-and-containers-titus-on-slide.md,Liked \,7,,General,yes
2017-04-24-liked-streaming-data-analytics-with-amazon-kin.md,Liked \,12,,General,yes
2017-05-31-at-pocket-were-redefining-out-technology-stack.md,At Pocket we're redefining out technology stack...,114,technology;pocket;we're;redefining;stack,Engineering & Product,yes
2017-06-16-one-of-the-biggest-efforts-we-make-at-pocket-me.md,One of the biggest efforts we make at Pocket Me...,77,biggest;efforts;pocket,General,no
2017-06-26-loved-this-quote-most-of-the-successful-proje.md,Loved this quote: \,44,quote,General,no
2017-08-07-liked-deep-dive-redshift-with-a-focus-on-perf.md,Liked \,11,,General,yes
2017-08-15-in-order-to-surmount-the-diversity-of-problems.md,In order to surmount the diversity of problems ...,38,order;surmount;diversity;problems,General,yes
2017-08-17-liked-real-time-analytics-with-druid-at-appsfl.md,Liked \,10,,General,yes
2017-08-17-liked-scalable-real-time-analytics-using-druid.md,Liked \,9,,General,yes
2017-08-24-liked-building-a-big-data-pipeline-on-slideshare.md,Liked \,8,,General,yes
2017-09-21-very-interesting-read-about-how-logitech-went-f.md,Very interesting read about how Logitech went f...,61,reading;interesting;logitech;went,Learning & Growth,no
2017-10-18-a-super-interesting-product-looking-for-a-super.md,A super interesting product looking for a super...,10,product;super;interesting,Engineering & Product,yes
2017-10-29-yes-youre-an-imposterso-am-i-and-so-is-every.md,"Yes, you're an imposter.So am I and so is every...",27,yes;you're;imposter;every,General,yes
2017-11-05-whats-up-now-with-those-made-up-inspirational.md,What's up now with those made up \,47,what's,General,no
2017-11-08-how-a-cc-in-anemail-says-so-muchletting-your.md,How a cc in an email says so much.Letting your ...,22,email;says;letting,General,yes
2017-12-11-but-culture-change-cant-be-achieved-through-to.md,But culture change can’t be achieved through to...,48,culture;change;achieved;through,Leadership & Culture,no
2018-01-25-next-february8th-emakinanlwill-host-a-meetu.md,"Next February 8th, Emakina.NL will host a meetu...",42,next;february;emakina;host;meetu,General,no
2018-01-29-another-meetup-organized-at-emakinanl.md,Another meetup organized at Emakina.NL!,32,meetup;organized;emakina,Events & Community,yes
2018-02-26-uxers-join-us-in-our-quest-to-have-happy-users.md,"UX'ers, join us in our quest to have happy users!",10,ux'ers;join;quest;happy;users,General,yes
2018-03-02-talent-is-overrated-attitude-before-aptitude.md,Talent is overrated. Attitude before aptitude!,43,career;overrated;attitude;aptitude,Career & Hiring,no
2018-03-02-talent-is-overratedattitude-before-aptitudewh.md,Talent is overrated.Attitude before aptitude!Wh...,43,career;overrated;attitude;aptitude,Career & Hiring,no
2018-04-23-not-a-bad-way-to-start-the-weekendif-you-want.md,Not a bad way to start the weekend!If you want ...,32,bad;way;start;weekend,General,yes
2018-06-16-last-friday-night-tgif.md,Last Friday Night (T.G.I.F.),496,last;friday;night,General,no
2018-09-04-join-us-for-an-evening-of-nice-company-interes.md,"Join us for an evening of nice company, interes...",15,company;join;evening;interes,General,yes
