file,title,word_count,proposed_tags,category,draft_if_short
2025-02-04-leadership-isnt-about-staying-in-the-spotlight.md,Leadership isn't about staying in the spotlight...,433,leadership;isn't;staying;spotlight,Leadership & Culture,no
2025-02-21-sharing-for-my-amsterdam-network-it-mobile-dev.md,Sharing for my #amsterdam network it mobile dev...,24,amsterdam;sharing;network;mobile;dev,Work & Life,yes
2025-02-27-leadership-isnt-a-job-title-management-is.md,Leadership isn’t a job title. Management is. 🧭\,270,leadership;hiring;isn;title,Career & Hiring,no
2025-03-10-people-your-engagement-ai-automations-are-ge.md,"People, your \",159,people,General,no
2025-03-21-i-have-a-very-dense-book-recommendation-for-y.md,I have a (very dense) book recommendation for y...,392,book;dense;recommendation,Learning & Growth,no
2025-04-01-weve-all-been-there-you-want-to-communicate-e.md,We've all been there: you want to communicate e...,142,we've;communicate,General,no
2025-05-07-vibe-coding-has-made-programming-fun-for-me-aga.md,Vibe coding has made programming fun for me aga...,424,code;vibe;programming;fun;aga,Engineering & Product,no
2025-05-19-today-in-vibe-coding-adventures-ive-direct.md,"Today, in \",199,,General,no
2025-05-21-great-day-of-ai-talks-organized-by-ida-in-thei.md,"Great day of AI talks organized by IDA, in thei...",230,day;talks;organized;ida;thei,General,no
2025-05-26-latest-vibe-coding-fun-httpslnkdindyrcdk.md,🪄Latest vibe coding fun: https://lnkd.in/dYrcdK...,161,code;latest;vibe;fun;https,Engineering & Product,no
2025-06-16-i-bet-that-this-will-paint-a-familiar-picture.md,I bet that this will paint a familiar picture. ...,110,bet;paint;familiar;picture,General,no
2025-06-16-swapping-tools-to-fix-systemic-issues.md,🔧 Swapping Tools to Fix Systemic Issues?,662,swapping;tools;fix;systemic;issues,General,no
2025-06-19-i-dont-know-who-needs-to-hear-this-but-i-wou.md,I don't know who needs to hear this - but I wou...,176,don't;needs;hear;wou,General,no
2025-06-27-today-is-a-weird-day-for-me-as-it-is-my-last.md,"🥲 Today is a weird day for me, as it is my last...",254,weird;day;last,General,no
2025-07-01-the-update-you-were-expecting-what-comes-next.md,The update you were expecting: what comes next?...,225,expecting;comes;next,General,no
2025-07-30-i-bring-a-new-book-recommendation-especially-f.md,"I bring a new book recommendation, especially f...",90,book;bring;new;recommendation;especially,Learning & Growth,no
2025-07-30-why-engineers-need-alchemy-beyond-factual-correctn.md,🦄 Why Engineers Need \,560,engineering,Engineering & Product,no
2025-08-27-two-months-in-at-worksome-first-job-alert.md,"🚨 Two months in at Worksome, first job alert 🎉\",130,hiring;two;months;worksome;first,Career & Hiring,no
2025-08-28-these-thoughts-from-sam-have-resonated-with-me.md,These thoughts from Sam have resonated with me ...,202,thoughts;sam;resonated,General,no
2025-08-29-the-most-overlooked-professional-skill-that-you.md,The most overlooked professional skill that you...,185,overlooked;professional;skill,General,no
2025-09-28-frustrated-your-team-wont-changethe-solution.md,Frustrated your team won't change?The solution ...,249,team;frustrated;won't;change;solution,Leadership & Culture,no
2025-10-18-you-might-be-outraged-at-the-wrong-thing-about-ai.md,🤬You might be outraged at the wrong thing about AI,200,might;outraged;wrong,General,no
