file,title,word_count,proposed_tags,category
2021-08-12-i-love-the-ad-that-our-colleagues-in-chile-have.md,I love the ad that our colleagues in Chile have...,69,chile;maquinita;sumup;sumup's;little,Fintech & Business
2021-09-28-a-reflection-on-one-of-the-changes-that-you-exp.md,A reflection on one of the changes that you exp...,144,you;leadership;reflection;changes;exp,Leadership & Culture
2021-09-30-how-much-do-you-like-these-kind-of-posts-that-p.md,How much do you like these kind of posts that p...,46,you;how;kind;posts;surveys,General
2021-10-06-do-you-know-that-feeling-that-you-get-sometimes.md,Do you know that feeling that you get sometimes...,133,you;feeling;sometimes;how;can,General
2021-10-11-ive-liked-this-talk-from-randy-shoup-about-how.md,I've liked this talk from Randy Shoup about how...,93,i've;liked;talk;randy;shoup,Events & Community
2021-11-18-proud-to-contribute-to-this-cause-and-for-the-o.md,Proud to contribute to this cause and for the o...,91,cause;contribute;company;scale;ones,General
2021-11-19-its-nice-when-you-still-feel-proud-about-your.md,It's nice when you still feel proud about your ...,86,you;it's;experience;launch;bikes,General
2021-12-02-not-directly-in-my-team-but-in-my-tribe-merch.md,"Not directly in my team, but in my Tribe (Merch...",70,not;directly;but;tribe;merch,General
2021-12-02-remember-to-tell-your-colleagues-that-you-appre.md,Remember to tell your colleagues that you appre...,54,you;remember;tell;appre;appreciate,General
2021-12-21-the-power-of-habit-from-i-hate-running-to-you-are.md,The power of habit: from \,1120,you;but;long;image;myself,General
2021-12-21-this-year-i-culminated-a-process-in-which-i-hav.md,This year I culminated a process in which I hav...,106,process;culminated;which;hav;learning,Engineering & Product
2021-12-23-2021-has-been-quite-a-year.md,2021 has been... quite a year 🤪,191,has;off;you;not;come,General
2022-01-29-if-theres-something-that-i-hate-with-the-capi.md,If there's something that I HATE (with the capi...,250,you;project;there's;hate;resources,General
2022-02-18-interested-in-high-traffic-nodejs-projects-an.md,"Interested in high traffic node.js projects, an...",70,interested;high;traffic;node;projects,General
2022-02-23-nice-to-have-mickael-representing-our-engineeri.md,Nice to have Mickael representing our Engineeri...,114,mickael;representing;engineeri;leadership;are,Leadership & Culture
2022-02-26-the-unfairness-the-lies-the-false-pretencesh.md,"The unfairness, the lies, the false pretences.H...",173,unfairness;lies;pretences;world;them,General
2022-03-08-at-the-edge-of-a-large-humanitarian-crisis-that.md,At the edge of a large humanitarian crisis that...,64,edge;large;humanitarian;crisis;sumup,Fintech & Business
2022-04-10-id-rather-interact-with-more-current-x-peopl.md,I'd rather interact with more \,211,you;worked;i'd;rather;interact,General
2022-04-29-do-you-know-that-kind-of-online-profile-that-on.md,Do you know that kind of online profile that on...,202,you;bad;they;kind;online,General
2022-05-12-what-a-blast-this-event-is.md,What a blast this event is!,79,blast;event;ideas;engineering;i'm,Engineering & Product
2022-05-23-were-hiring-for-a-super-interesting-position.md,"We're hiring for a super interesting position, ...",166,hiring;we're;super;interesting;you,Career & Hiring
2022-06-23-really-exciting-to-get-this-validation-of-the-e.md,Really exciting to get this validation of the e...,63,exciting;validation;merchant;ecosystem;we're,Fintech & Business
2022-06-29-investment-round-announcement-so-many-new-fri.md,Investment round announcement ➝ so many new fri...,49,investment;round;announcement;fri;not,General
2022-07-22-this-was-quite-a-blast-getting-so-many-colleag.md,This was quite a blast. Getting so many colleag...,114,was;blast;getting;colleag;sumup,Fintech & Business
